Number	Accession	A's	G's	C's	T's	N's	Length	GC%
37111	CY020172  	780	574	417	526	0	2330	43.1
37112	CY020173  	623	388	325	404	0	1765	41.0
37113	CY020174  	283	258	207	238	0	1001	47.2
37114	CY020174  	283	258	207	238	0	1001	47.2
37115	CY020175  	450	341	254	376	0	1442	41.9
37116	CY020176  	495	407	308	319	0	1551	46.8
37117	CY020177  	270	203	167	201	0	854	44.0
37118	CY020177  	270	203	167	201	0	854	44.0
37119	CY020178  	736	518	411	534	0	2231	42.2
37120	CY020179  	804	515	442	545	0	2339	41.5
37121	CY020179  	804	515	442	545	0	2339	41.5
37122	CY020180  	778	569	415	521	0	2316	43.1
37123	CY073155  	771	588	430	491	0	2313	44.6
37124	CY073156  	812	517	439	506	0	2307	42.0
37125	CY073157  	704	530	423	494	0	2182	44.3
37126	CY073158  	600	378	314	409	0	1726	40.7
37127	CY073159  	496	394	295	312	0	1519	46.0
37128	CY073160  	452	328	263	367	0	1431	41.9
37129	CY073161  	287	252	208	235	0	997	46.8
37130	CY073161  	287	252	208	235	0	997	46.8
37131	CY073162  	268	202	168	209	0	860	43.7
37132	CY073162  	268	202	168	209	0	860	43.7
37133	CY073163  	771	588	430	491	0	2313	44.6
37134	CY073164  	810	519	439	506	0	2307	42.1
37135	CY073165  	705	529	423	494	0	2182	44.3
37136	CY073166  	600	378	314	409	0	1726	40.7
37137	CY073167  	495	395	295	312	0	1519	46.1
37138	CY073168  	452	328	263	367	0	1431	41.9
37139	CY073169  	287	252	208	235	0	997	46.8
37140	CY073169  	287	252	208	235	0	997	46.8
37141	CY073170  	267	202	169	208	0	859	43.9
37142	CY073170  	267	202	169	208	0	859	43.9
37143	CY073171  	771	588	430	491	0	2313	44.6
37144	CY073172  	810	519	439	506	0	2307	42.1
37145	CY073173  	705	529	423	494	0	2182	44.3
37146	CY073174  	600	378	314	409	0	1726	40.7
37147	CY073175  	495	395	295	312	0	1519	46.1
37148	CY073176  	452	328	263	367	0	1431	41.9
37149	CY073177  	287	252	208	235	0	997	46.8
37150	CY073177  	287	252	208	235	0	997	46.8
37151	CY073178  	268	201	169	208	0	859	43.7
37152	CY073178  	268	201	169	208	0	859	43.7
37153	GQ409639  	205	156	97	159	0	626	41.0
37154	GU338362  	629	393	324	416	2	1790	40.6
37155	CY059313  	256	220	178	205	0	872	46.3
37156	CY059313  	256	220	178	205	0	872	46.3
37157	EU499372  	590	391	318	399	0	1723	41.8
37158	EU499373  	273	205	178	203	0	872	44.6
37159	EU499373  	273	205	178	203	0	872	44.6
37160	EU499374  	266	258	205	223	0	966	48.6
37161	EU499374  	266	258	205	223	0	966	48.6
37162	EU499375  	413	372	265	276	0	1345	48.0
37163	EU499376  	777	532	445	505	0	2292	43.2
37164	EU499377  	760	587	438	492	0	2310	45.0
37165	EU499378  	398	334	235	356	0	1342	43.0
37166	EU499379  	746	517	445	511	0	2251	43.4
37167	GQ328771  	285	254	208	235	0	997	47.0
37168	GQ328771  	285	254	208	235	0	997	47.0
37169	GQ328765  	192	126	110	128	0	564	42.4
37170	GQ328772  	286	253	208	235	0	997	46.9
37171	GQ328772  	286	253	208	235	0	997	46.9
37172	FJ403569  	463	327	253	370	0	1434	41.0
37173	FJ654329  	551	370	297	388	0	1629	41.5
37174	AJ457963  	455	350	285	375	0	1486	43.3
37175	EU502458  	331	217	215	224	0	1002	43.8
37176	EU502465  	333	216	214	224	0	1002	43.6
37177	AJ457866  	344	237	227	246	0	1070	44.0
37178	EU502473  	334	214	217	222	0	1002	43.7
37179	EU502467  	334	216	214	223	0	1002	43.6
37180	EU502471  	332	215	217	223	0	1002	43.8
37181	EU502472  	330	217	217	223	0	1002	44.0
37182	AJ457861  	349	237	226	241	0	1069	44.0
37183	AB470357  	183	106	115	130	0	542	41.4
37184	CY047051  	227	131	145	155	0	668	41.9
37185	CY047052  	264	150	164	178	0	767	41.5
37186	CY047053  	252	139	156	164	0	722	41.5
37187	AB470354  	37	30	31	28	0	128	48.4
37188	CY047055  	248	139	159	163	0	720	42.0
37189	CY047056  	250	142	160	163	0	726	42.2
37190	CY047057  	327	200	208	217	0	966	42.9
37191	CY047058  	225	122	136	146	0	638	41.0
37192	CY047059  	233	124	139	145	0	651	41.0
37193	CY047061  	224	124	141	149	0	648	41.5
37194	CY047062  	251	143	159	164	0	728	42.1
37195	CY047063  	328	203	210	221	0	976	42.9
37196	CY047065  	233	129	149	157	0	678	41.6
37197	CY047066  	243	138	155	164	0	710	41.9
37198	CY047068  	254	139	159	165	0	728	41.6
37199	CY047069  	233	131	153	158	0	685	42.1
37200	CY047070  	328	203	211	219	0	975	43.1
37201	AB465342  	78	59	46	75	0	262	40.7
37202	AB462545  	255	161	177	179	3	787	43.6
37203	AB462546  	373	269	235	296	0	1190	43.0
37204	AB462547  	60	56	45	61	0	226	45.5
37205	AB465343  	61	48	37	55	0	204	42.3
37206	AB476754  	374	299	216	320	0	1227	42.6
37207	AB477004  	356	244	222	249	0	1087	43.5
37208	AB476755  	436	325	244	357	0	1382	41.8
37209	AB477005  	356	244	222	249	0	1087	43.5
37210	AB462370  	453	329	250	363	0	1415	41.5
37211	AB477007  	356	244	222	249	0	1087	43.5
37212	AB476756  	110	77	58	82	0	332	41.3
37213	AB477006  	114	65	77	77	0	338	42.6
37214	AB462371  	453	329	250	363	0	1415	41.5
37215	AB462372  	452	329	250	362	2	1415	41.5
37216	AB462350  	363	269	231	289	0	1169	43.4
37217	AB462351  	62	54	45	61	0	226	44.6
37218	AB462373  	120	83	84	103	0	396	42.8
37219	AB462362  	295	177	194	204	0	883	42.6
37220	AB462363  	348	252	217	278	0	1111	42.8
37221	AB462364  	62	58	45	63	0	232	45.2
37222	AB462352  	305	182	199	209	0	908	42.6
37223	AB462353  	48	46	41	57	0	195	45.3
37224	AB462354  	296	177	195	205	0	886	42.6
37225	AB462355  	361	264	226	292	0	1160	42.9
37226	AB462356  	39	37	34	49	0	162	44.7
37227	AB462365  	307	179	197	209	0	905	42.2
37228	AB462366  	350	256	218	280	0	1120	42.9
37229	AB462367  	63	60	47	64	0	238	45.7
37230	AB462357  	283	170	184	197	0	846	42.4
37231	AB462358  	361	266	232	295	1	1172	43.1
37232	AB462359  	65	62	48	65	0	244	45.8
37233	AB462360  	307	227	195	246	0	989	43.3
37234	AB462361  	63	60	47	64	0	238	45.7
37235	AB462534  	407	258	251	257	0	1190	43.4
37236	AB462535  	327	231	211	266	0	1050	42.7
37237	AB462536  	64	63	48	65	0	244	46.2
37238	AB462537  	398	260	249	257	0	1181	43.7
37239	AB462538  	369	268	234	293	0	1181	43.1
37240	AB462539  	63	64	49	64	0	244	47.1
37241	AB462540  	406	257	250	256	4	1190	43.2
37242	AB462541  	368	267	234	294	1	1181	43.0
37243	AB462542  	400	257	249	256	8	1187	43.2
37244	AB462543  	349	259	221	281	0	1126	43.2
37245	AB462544  	64	63	49	65	0	245	46.5
37246	L33480    	353	223	225	230	1	1047	43.4
37247	L33481    	353	223	225	230	1	1047	43.4
37248	L37330    	449	354	282	382	0	1488	43.4
37249	M81576    	293	271	212	251	0	1042	47.0
37250	M81576    	293	271	212	251	0	1042	47.0
37251	M81577    	510	408	314	334	0	1589	46.1
37252	M81578    	295	206	179	210	0	903	43.3
37253	M81578    	295	206	179	210	0	903	43.3
37254	M81579    	745	527	422	539	0	2265	42.5
37255	M81580    	825	527	472	517	0	2375	42.7
37256	M81581    	797	586	415	543	0	2375	42.8
37257	AF270717  	346	236	207	228	0	1032	43.6
37258	L37329    	449	354	282	382	0	1488	43.4
37259	M81570    	293	270	213	251	0	1042	47.0
37260	M81570    	293	270	213	251	0	1042	47.0
37261	M81571    	510	408	314	334	0	1589	46.1
37262	M81572    	294	207	179	210	0	903	43.4
37263	M81572    	294	207	179	210	0	903	43.4
37264	M81573    	745	527	422	539	0	2265	42.5
37265	M81574    	824	529	472	516	0	2375	42.8
37266	M81575    	797	587	415	542	0	2375	42.8
37267	EF633443  	113	90	74	66	0	348	47.8
37268	L37331    	449	354	282	382	0	1488	43.4
37269	M81582    	293	271	212	251	0	1042	47.0
37270	M81582    	293	271	212	251	0	1042	47.0
37271	M81583    	511	408	313	334	0	1589	46.0
37272	M81584    	295	206	179	210	0	903	43.3
37273	M81584    	295	206	179	210	0	903	43.3
37274	M81585    	745	527	422	539	0	2265	42.5
37275	M81586    	825	526	472	518	0	2375	42.6
37276	M81587    	801	587	416	545	0	2383	42.7
37277	EF633437  	274	264	206	238	0	997	47.9
37278	EF633437  	274	264	206	238	0	997	47.9
37279	EF633438  	266	195	161	188	0	822	44.0
37280	EF633438  	266	195	161	188	0	822	44.0
37281	EF633439  	495	401	302	321	0	1541	46.3
37282	EF633440  	729	519	411	524	0	2215	42.6
37283	EF633441  	807	519	460	501	0	2320	42.8
37284	EF633442  	780	581	405	524	0	2323	43.1
37285	M38309    	469	344	263	386	0	1483	41.5
37286	M38312    	634	400	336	409	0	1805	41.4
37287	X52146    	283	215	181	211	0	903	44.5
37288	X52146    	283	215	181	211	0	903	44.5
37289	AF008903  	321	224	212	230	0	1002	44.2
37290	DQ508846  	784	565	412	519	0	2313	42.9
37291	DQ508847  	808	518	442	506	0	2307	42.2
37292	DQ508848  	723	512	400	515	1	2182	42.4
37293	DQ508849  	553	397	342	406	3	1726	43.4
37294	DQ508850  	488	396	295	318	0	1519	46.2
37295	DQ508851  	439	339	265	367	0	1431	42.8
37296	DQ508852  	286	254	212	232	1	1000	47.3
37297	DQ508852  	286	254	212	232	1	1000	47.3
37298	DQ508853  	282	198	167	200	0	860	43.1
37299	DQ508853  	282	198	167	200	0	860	43.1
37300	AB043479  	359	227	228	218	0	1047	44.1
37301	CY058919  	253	220	179	207	0	872	46.4
37302	CY058919  	253	220	179	207	0	872	46.4
37303	DQ666647  	89	69	60	71	0	294	44.6
37304	DQ666648  	90	68	57	74	0	294	43.3
37305	CY059406  	247	224	182	206	0	872	47.3
37306	CY059406  	247	224	182	206	0	872	47.3
37307	CY058894  	244	224	183	208	0	872	47.4
37308	CY058894  	244	224	183	208	0	872	47.4
37309	CY059326  	252	222	179	206	0	872	46.7
37310	CY059326  	252	222	179	206	0	872	46.7
37311	CY059195  	252	222	179	206	0	872	46.7
37312	CY059195  	252	222	179	206	0	872	46.7
37313	CY059164  	252	222	179	206	0	872	46.7
37314	CY059164  	252	222	179	206	0	872	46.7
37315	CY059347  	255	220	177	207	0	872	46.2
37316	CY059347  	255	220	177	207	0	872	46.2
37317	CY059165  	255	220	177	207	0	872	46.2
37318	CY059165  	255	220	177	207	0	872	46.2
37319	CY059166  	255	219	177	207	1	872	46.1
37320	CY059166  	255	219	177	207	1	872	46.1
37321	CY059957  	243	229	181	206	0	872	47.7
37322	CY059957  	243	229	181	206	0	872	47.7
37323	CY059337  	255	218	181	205	0	872	46.4
37324	CY059337  	255	218	181	205	0	872	46.4
37325	CY059167  	255	221	176	207	0	872	46.2
37326	CY059167  	255	221	176	207	0	872	46.2
37327	CY059331  	255	218	181	205	0	872	46.4
37328	CY059331  	255	218	181	205	0	872	46.4
37329	CY059541  	242	229	184	204	0	872	48.1
37330	CY059541  	242	229	184	204	0	872	48.1
37331	CY059956  	242	229	182	206	0	872	47.8
37332	CY059956  	242	229	182	206	0	872	47.8
37333	CY058877  	252	221	180	206	0	872	46.7
37334	CY058877  	252	221	180	206	0	872	46.7
37335	DQ666651  	90	68	56	76	0	295	42.8
37336	CY059542  	242	228	183	205	1	872	47.8
37337	CY059542  	242	228	183	205	1	872	47.8
37338	CY059543  	242	229	183	205	0	872	48.0
37339	CY059543  	242	229	183	205	0	872	48.0
37340	DQ666650  	89	67	60	69	0	290	44.6
37341	DQ666646  	90	68	60	71	0	294	44.3
37342	DQ666644  	90	68	60	71	0	294	44.3
37343	DQ666645  	90	68	60	71	0	294	44.3
37344	CY058979  	252	222	179	206	0	872	46.7
37345	CY058979  	252	222	179	206	0	872	46.7
37346	CY058948  	253	221	179	206	0	872	46.6
37347	CY058948  	253	221	179	206	0	872	46.6
37348	DQ666649  	90	69	59	69	0	292	44.6
37349	CY059469  	239	231	182	206	1	872	48.1
37350	CY059469  	239	231	182	206	1	872	48.1
37351	CY058878  	252	221	180	206	0	872	46.7
37352	CY058878  	252	221	180	206	0	872	46.7
37353	CY058879  	252	221	180	206	0	872	46.7
37354	CY058879  	252	221	180	206	0	872	46.7
37355	CY059470  	240	231	182	206	0	872	48.1
37356	CY059470  	240	231	182	206	0	872	48.1
37357	CY058920  	253	220	179	207	0	872	46.4
37358	CY058920  	253	220	179	207	0	872	46.4
37359	CY058921  	252	221	180	206	0	872	46.7
37360	CY058921  	252	221	180	206	0	872	46.7
37361	EU521870  	358	234	224	249	0	1081	43.0
37362	EU555267  	379	246	234	265	0	1141	42.7
37363	EU555253  	330	197	206	226	0	973	42.0
37364	EF566055  	348	219	224	238	0	1044	43.1
37365	HM189349  	771	584	431	494	0	2313	44.5
37366	HM189350  	813	514	440	506	1	2307	42.0
37367	HM189351  	716	535	430	510	0	2223	44.0
37368	HM189352  	599	379	316	406	1	1726	40.9
37369	HM189353  	503	397	297	317	0	1536	45.8
37370	HM189354  	449	331	264	366	0	1431	42.2
37371	HM189355  	289	250	208	235	0	997	46.6
37372	HM189355  	289	250	208	235	0	997	46.6
37373	HM189356  	263	203	168	207	0	854	44.1
37374	HM189356  	263	203	168	207	0	854	44.1
37375	CY067753  	367	217	207	241	0	1047	41.1
37376	CY067754  	450	330	263	367	0	1431	42.1
37377	CY067755  	289	253	207	236	0	1000	46.7
37378	CY067755  	289	253	207	236	0	1000	46.7
37379	CY067756  	367	216	207	242	0	1047	41.0
37380	CY067757  	451	329	263	367	0	1431	42.0
37381	CY067758  	289	252	208	236	0	1000	46.7
37382	CY067758  	289	252	208	236	0	1000	46.7
37383	CY067759  	367	216	208	241	0	1047	41.1
37384	CY067760  	451	329	263	367	0	1431	42.0
37385	CY067761  	289	252	208	236	0	1000	46.7
37386	CY067761  	289	252	208	236	0	1000	46.7
37387	CY067762  	368	216	207	241	0	1047	41.0
37388	CY067763  	450	330	265	365	0	1431	42.2
37389	CY067764  	289	253	208	235	0	1000	46.8
37390	CY067764  	289	253	208	235	0	1000	46.8
37391	CY067765  	369	215	208	240	0	1047	41.0
37392	CY067766  	450	330	264	366	0	1431	42.1
37393	CY067767  	289	253	208	235	0	1000	46.8
37394	CY067767  	289	253	208	235	0	1000	46.8
37395	CY067768  	369	214	207	242	0	1047	40.8
37396	CY067769  	450	330	263	367	0	1431	42.1
37397	CY067770  	289	253	208	235	0	1000	46.8
37398	CY067770  	289	253	208	235	0	1000	46.8
37399	CY067771  	368	215	208	241	0	1047	41.0
37400	CY067772  	450	330	264	366	0	1431	42.1
37401	CY067773  	291	251	209	234	0	1000	46.7
37402	CY067773  	291	251	209	234	0	1000	46.7
37403	CY067774  	365	216	209	242	0	1047	41.2
37404	CY067775  	450	330	263	367	0	1431	42.1
37405	CY067776  	288	254	208	235	0	1000	46.9
37406	CY067776  	288	254	208	235	0	1000	46.9
37407	CY067777  	368	216	208	240	0	1047	41.1
37408	CY067778  	450	330	269	361	0	1431	42.5
37409	CY067779  	289	253	209	234	0	1000	46.9
37410	CY067779  	289	253	209	234	0	1000	46.9
37411	CY067780  	369	215	207	241	0	1047	40.9
37412	CY067781  	451	329	264	366	0	1431	42.1
37413	CY067782  	289	253	208	235	0	1000	46.8
37414	CY067782  	289	253	208	235	0	1000	46.8
37415	CY067783  	369	214	207	242	0	1047	40.8
37416	CY067784  	449	331	263	367	0	1431	42.1
37417	CY067785  	289	253	207	236	0	1000	46.7
37418	CY067785  	289	253	207	236	0	1000	46.7
37419	CY067786  	369	214	207	242	0	1047	40.8
37420	CY067787  	449	331	263	367	0	1431	42.1
37421	CY067788  	289	253	207	236	0	1000	46.7
37422	CY067788  	289	253	207	236	0	1000	46.7
37423	CY067789  	368	216	207	241	0	1047	41.0
37424	CY067790  	450	330	264	366	0	1431	42.1
37425	CY067791  	290	252	208	235	0	1000	46.7
37426	CY067791  	290	252	208	235	0	1000	46.7
37427	CY067792  	368	215	207	242	0	1047	40.9
37428	CY067793  	450	330	263	367	0	1431	42.1
37429	CY067794  	290	252	208	235	0	1000	46.7
37430	CY067794  	290	252	208	235	0	1000	46.7
37431	CY067795  	368	216	207	241	0	1047	41.0
37432	CY067796  	449	331	263	367	0	1431	42.1
37433	CY067797  	289	253	208	235	0	1000	46.8
37434	CY067797  	289	253	208	235	0	1000	46.8
37435	CY067798  	368	216	206	242	0	1047	40.9
37436	CY067799  	451	329	263	367	0	1431	42.0
37437	CY067800  	289	253	208	235	0	1000	46.8
37438	CY067800  	289	253	208	235	0	1000	46.8
37439	GQ166749  	271	201	169	208	0	862	43.6
37440	GQ166749  	271	201	169	208	0	862	43.6
37441	GQ166750  	448	327	263	365	0	1424	42.1
37442	GQ166751  	278	248	201	228	0	969	47.0
37443	GQ166751  	278	248	201	228	0	969	47.0
37444	GQ166752  	592	372	312	401	0	1701	40.8
37445	CY067801  	367	216	208	241	0	1047	41.1
37446	CY067802  	450	330	263	367	0	1431	42.1
37447	CY067803  	289	253	208	235	0	1000	46.8
37448	CY067803  	289	253	208	235	0	1000	46.8
37449	CY067804  	365	216	208	243	0	1047	41.1
37450	CY067805  	451	329	263	367	0	1431	42.0
37451	CY067806  	287	255	208	235	0	1000	47.0
37452	CY067806  	287	255	208	235	0	1000	47.0
37453	CY067807  	367	216	208	241	0	1047	41.1
37454	CY067808  	450	330	263	367	0	1431	42.1
37455	CY067809  	289	253	208	235	0	1000	46.8
37456	CY067809  	289	253	208	235	0	1000	46.8
37457	CY067810  	367	215	209	241	0	1047	41.1
37458	CY067811  	450	330	264	366	0	1431	42.1
37459	CY067812  	287	255	208	235	0	1000	47.0
37460	CY067812  	287	255	208	235	0	1000	47.0
37461	CY067813  	367	216	207	242	0	1047	41.0
37462	CY067814  	450	329	262	369	0	1431	41.9
37463	CY067815  	290	252	208	235	0	1000	46.7
37464	CY067815  	290	252	208	235	0	1000	46.7
37465	CY067816  	368	216	208	240	0	1047	41.1
37466	CY067817  	450	329	264	367	0	1431	42.1
37467	CY067818  	289	253	208	235	0	1000	46.8
37468	CY067818  	289	253	208	235	0	1000	46.8
37469	CY067819  	369	214	208	241	0	1047	40.9
37470	CY067820  	452	329	262	367	0	1431	41.9
37471	CY067821  	289	253	208	235	0	1000	46.8
37472	CY067821  	289	253	208	235	0	1000	46.8
37473	CY067822  	368	215	208	241	0	1047	41.0
37474	CY067823  	450	330	264	366	0	1431	42.1
37475	CY067824  	290	252	208	235	0	1000	46.7
37476	CY067824  	290	252	208	235	0	1000	46.7
37477	CY067825  	369	214	208	241	0	1047	40.9
37478	CY067826  	452	329	262	367	0	1431	41.9
37479	CY067827  	289	253	208	235	0	1000	46.8
37480	CY067827  	289	253	208	235	0	1000	46.8
37481	CY067828  	366	217	209	240	0	1047	41.3
37482	CY067829  	450	330	263	367	0	1431	42.1
37483	CY067830  	289	253	208	235	0	1000	46.8
37484	CY067830  	289	253	208	235	0	1000	46.8
37485	CY067831  	368	216	208	240	0	1047	41.1
37486	CY067832  	451	328	269	362	0	1431	42.3
37487	CY067833  	289	253	208	235	0	1000	46.8
37488	CY067833  	289	253	208	235	0	1000	46.8
37489	CY067834  	366	217	210	239	0	1047	41.4
37490	CY067835  	450	331	265	364	0	1431	42.3
37491	CY067836  	289	253	208	235	0	1000	46.8
37492	CY067836  	289	253	208	235	0	1000	46.8
37493	CY067837  	368	216	208	240	0	1047	41.1
37494	CY067838  	451	329	268	362	0	1431	42.3
37495	CY067839  	289	253	208	235	0	1000	46.8
37496	CY067839  	289	253	208	235	0	1000	46.8
37497	CY067840  	370	215	207	240	0	1047	40.9
37498	CY067841  	450	330	263	367	0	1431	42.1
37499	CY067842  	290	252	208	235	0	1000	46.7
37500	CY067842  	290	252	208	235	0	1000	46.7
37501	CY067843  	368	215	208	241	0	1047	41.0
37502	CY067844  	451	329	264	366	0	1431	42.1
37503	CY067845  	292	250	208	235	0	1000	46.5
37504	CY067845  	292	250	208	235	0	1000	46.5
37505	CY067846  	368	215	208	241	0	1047	41.0
37506	CY067847  	452	329	262	367	0	1431	41.9
37507	CY067848  	287	255	207	236	0	1000	46.9
37508	CY067848  	287	255	207	236	0	1000	46.9
37509	CY067849  	369	215	208	240	0	1047	41.0
37510	CY067850  	451	329	268	362	0	1431	42.3
37511	CY067851  	289	253	208	235	0	1000	46.8
37512	CY067851  	289	253	208	235	0	1000	46.8
37513	CY067852  	369	215	208	240	0	1047	41.0
37514	CY067853  	452	328	264	366	0	1431	42.0
37515	CY067854  	289	253	208	235	0	1000	46.8
37516	CY067854  	289	253	208	235	0	1000	46.8
37517	CY067855  	369	215	208	240	0	1047	41.0
37518	CY067856  	452	328	264	366	0	1431	42.0
37519	CY067857  	289	253	208	235	0	1000	46.8
37520	CY067857  	289	253	208	235	0	1000	46.8
37521	CY067858  	369	215	208	240	0	1047	41.0
37522	CY067859  	452	328	264	366	0	1431	42.0
37523	CY067860  	289	253	208	235	0	1000	46.8
37524	CY067860  	289	253	208	235	0	1000	46.8
37525	CY067861  	368	216	208	240	0	1047	41.1
37526	CY067862  	451	329	268	362	0	1431	42.3
37527	CY067863  	289	253	208	235	0	1000	46.8
37528	CY067863  	289	253	208	235	0	1000	46.8
37529	CY067864  	367	216	208	241	0	1047	41.1
37530	CY067865  	451	330	263	366	0	1431	42.1
37531	CY067866  	289	253	207	236	0	1000	46.7
37532	CY067866  	289	253	207	236	0	1000	46.7
37533	CY067867  	368	216	208	240	0	1047	41.1
37534	CY067868  	451	329	268	362	0	1431	42.3
37535	CY067869  	289	253	208	235	0	1000	46.8
37536	CY067869  	289	253	208	235	0	1000	46.8
37537	CY067870  	368	215	208	241	0	1047	41.0
37538	CY067871  	451	329	263	367	0	1431	42.0
37539	CY067872  	290	252	208	235	0	1000	46.7
37540	CY067872  	290	252	208	235	0	1000	46.7
37541	CY067873  	366	217	207	242	0	1047	41.1
37542	CY067874  	450	330	263	367	0	1431	42.1
37543	CY067875  	292	250	207	236	0	1000	46.4
37544	CY067875  	292	250	207	236	0	1000	46.4
37545	CY067876  	367	216	208	241	0	1047	41.1
37546	CY067877  	451	330	262	367	0	1431	42.0
37547	CY067878  	289	253	208	235	0	1000	46.8
37548	CY067878  	289	253	208	235	0	1000	46.8
37549	CY067879  	368	216	209	239	0	1047	41.2
37550	CY067880  	451	329	267	363	0	1431	42.3
37551	CY067881  	289	253	208	235	0	1000	46.8
37552	CY067881  	289	253	208	235	0	1000	46.8
37553	CY067882  	368	216	208	240	0	1047	41.1
37554	CY067883  	451	329	268	362	0	1431	42.3
37555	CY067884  	289	253	208	235	0	1000	46.8
37556	CY067884  	289	253	208	235	0	1000	46.8
37557	CY067885  	369	215	208	240	0	1047	41.0
37558	CY067886  	453	326	265	366	0	1431	41.9
37559	CY067887  	289	253	207	236	0	1000	46.7
37560	CY067887  	289	253	207	236	0	1000	46.7
37561	CY067888  	368	216	207	241	0	1047	41.0
37562	CY067889  	450	330	263	367	0	1431	42.1
37563	CY067890  	289	253	208	235	0	1000	46.8
37564	CY067890  	289	253	208	235	0	1000	46.8
37565	CY067891  	368	216	208	240	0	1047	41.1
37566	CY067892  	452	328	268	362	0	1431	42.3
37567	CY067893  	289	253	208	235	0	1000	46.8
37568	CY067893  	289	253	208	235	0	1000	46.8
37569	CY067894  	368	215	208	241	0	1047	41.0
37570	CY067895  	452	329	262	367	0	1431	41.9
37571	CY067896  	289	253	208	235	0	1000	46.8
37572	CY067896  	289	253	208	235	0	1000	46.8
37573	CY067897  	368	215	208	241	0	1047	41.0
37574	CY067898  	450	330	263	367	0	1431	42.1
37575	CY067899  	289	253	207	236	0	1000	46.7
37576	CY067899  	289	253	207	236	0	1000	46.7
37577	CY067900  	368	215	208	241	0	1047	41.0
37578	CY067901  	452	328	265	365	0	1431	42.1
37579	CY067902  	289	253	207	236	0	1000	46.7
37580	CY067902  	289	253	207	236	0	1000	46.7
37581	CY067903  	367	216	208	241	0	1047	41.1
37582	CY067904  	450	330	263	367	0	1431	42.1
37583	CY067905  	289	253	208	235	0	1000	46.8
37584	CY067905  	289	253	208	235	0	1000	46.8
37585	CY067906  	368	216	208	240	0	1047	41.1
37586	CY067907  	452	328	266	364	0	1431	42.1
37587	CY067908  	289	253	208	235	0	1000	46.8
37588	CY067908  	289	253	208	235	0	1000	46.8
37589	CY067909  	368	215	207	242	0	1047	40.9
37590	CY067910  	450	331	263	366	0	1431	42.1
37591	CY067911  	289	253	208	235	0	1000	46.8
37592	CY067911  	289	253	208	235	0	1000	46.8
37593	CY067912  	370	215	207	240	0	1047	40.9
37594	CY067913  	450	330	262	368	0	1431	42.0
37595	CY067914  	290	252	208	235	0	1000	46.7
37596	CY067914  	290	252	208	235	0	1000	46.7
37597	CY067915  	368	215	208	241	0	1047	41.0
37598	CY067916  	450	330	263	367	0	1431	42.1
37599	CY067917  	289	253	208	235	0	1000	46.8
37600	CY067917  	289	253	208	235	0	1000	46.8
37601	CY067918  	368	215	208	241	0	1047	41.0
37602	CY067919  	450	330	263	367	0	1431	42.1
37603	CY067920  	288	254	209	234	0	1000	47.0
37604	CY067920  	288	254	209	234	0	1000	47.0
37605	EU128346  	356	229	224	243	0	1068	43.1
37606	EU128345  	355	233	225	248	0	1077	43.2
37607	EU128347  	357	234	227	247	0	1081	43.3
37608	FJ403579  	461	327	253	369	0	1431	41.1
37609	FJ654318  	546	352	282	370	0	1573	40.9
37610	EU128348  	353	228	226	238	0	1060	43.4
37611	EU128349  	356	235	225	249	0	1081	43.2
37612	FJ403558  	463	331	256	373	0	1444	41.3
37613	FJ654310  	554	362	294	385	0	1618	41.1
37614	EU128350  	361	232	227	247	0	1083	43.0
37615	EU128351  	355	233	226	246	0	1076	43.3
37616	EU128342  	357	231	225	246	0	1075	43.1
37617	EU128352  	359	233	227	247	0	1082	43.2
37618	EU128353  	356	230	227	247	0	1076	43.1
37619	EU128339  	358	235	228	245	0	1082	43.4
37620	EU128340  	358	235	228	245	0	1082	43.4
37621	EU128343  	358	235	224	248	0	1081	43.1
37622	EU128354  	355	228	224	242	0	1064	43.1
37623	EU128355  	355	227	224	242	0	1063	43.0
37624	EU128356  	356	231	226	246	0	1075	43.2
37625	EU128357  	355	225	225	239	0	1059	43.1
37626	EU128341  	357	236	228	245	0	1082	43.5
37627	EU128344  	359	233	227	247	0	1082	43.2
37628	EU128358  	355	225	224	239	0	1058	43.0
37629	EU128359  	360	233	227	247	0	1083	43.1
37630	EU128360  	356	228	224	243	0	1067	43.0
37631	EU128361  	358	229	224	245	0	1072	42.9
37632	EU128362  	361	239	227	249	0	1092	43.3
37633	EU128338  	357	234	226	248	0	1081	43.2
37634	GQ496602  	471	293	237	313	0	1333	40.3
37635	HM245793  	639	395	332	423	0	1815	40.6
37636	GU323343  	633	390	326	417	1	1793	40.5
37637	GQ253638  	152	119	85	118	0	481	43.0
37638	GQ253645  	190	121	124	130	0	574	43.4
37639	GQ253652  	65	55	36	61	0	221	41.9
37640	GQ253652  	65	55	36	61	0	221	41.9
37641	GQ253639  	152	119	85	118	0	481	43.0
37642	GQ253646  	187	123	124	131	0	574	43.7
37643	GQ253653  	65	55	36	61	0	221	41.9
37644	GQ253653  	65	55	36	61	0	221	41.9
37645	GQ253640  	152	119	85	118	0	481	43.0
37646	GQ253647  	189	122	124	130	0	574	43.5
37647	GQ253654  	65	55	36	61	0	221	41.9
37648	GQ253654  	65	55	36	61	0	221	41.9
37649	GQ253641  	152	119	85	118	0	481	43.0
37650	GQ253648  	189	122	124	130	0	574	43.5
37651	GQ253655  	65	55	36	61	0	221	41.9
37652	GQ253655  	65	55	36	61	0	221	41.9
